1,0,西游记,西游记
2,1,东胜神洲,西游记/东胜神洲
3,2,傲来国,西游记/东胜神洲/傲来国
4,3,花果山,西游记/东胜神洲/傲来国/花果山
5,4,水帘洞,西游记/东胜神洲/傲来国/花果山/水帘洞
6,5,坎源山,西游记/东胜神洲/傲来国/坎源山
7,6,水脏洞,西游记/东胜神洲/傲来国/坎源山/水脏洞
8,1,南赡部洲,西游记/南赡部洲
9,8,浮屠山,西游记/南赡部洲/浮屠山
10,8,观音院,西游记/南赡部洲/观音院
11,8,黑风山,西游记/南赡部洲/黑风山
12,8,黄风岭,西游记/南赡部洲/黄风岭
13,8,流沙河,西游记/南赡部洲/流沙河
14,8,蛇盘山,西游记/南赡部洲/蛇盘山
15,8,唐,西游记/南赡部洲/唐
16,15,双叉岭,西游记/南赡部洲/唐/双叉岭
17,15,长安,西游记/南赡部洲/唐/长安
18,17,化生寺,西游记/南赡部洲/唐/长安/化生寺
19,8,小须弥山,西游记/南赡部洲/小须弥山
20,1,西牛贺洲,西游记/西牛贺洲
21,20,灌洲,西游记/西牛贺洲/灌洲
22,21,灌江口,西游记/西牛贺洲/灌洲/灌江口
23,20,灵台方寸山 ,西游记/西牛贺洲/灵台方寸山 
24,23,斜月三星洞,西游记/西牛贺洲/灵台方寸山/斜月三星洞
25,20,梅山,西游记/西牛贺洲/梅山
26,20,南海,西游记/西牛贺洲/南海
27,27,普陀落伽山,西游记/西牛贺洲/南海/普陀落伽山
28,20,乌斯藏,西游记/西牛贺洲/乌斯藏
29,28,福陵山 ,西游记/西牛贺洲/乌斯藏/福陵山 
30,29,高老庄,西游记/西牛贺洲/乌斯藏/福陵山/高老庄
31,29,云栈洞,西游记/西牛贺洲/乌斯藏/福陵山/云栈洞
